gene_id	genes	cluster	original_id	gene_biotype	external_gene_name	entrezgene_id	description	chromosome_name	start_position	end_position	strand
ENSG00000001629	ENSG00000001629	1	ENSG00000001629	protein_coding	ANKIB1	54467	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	7	92245974	92401383	1
ENSG00000004897	ENSG00000004897	1	ENSG00000004897	protein_coding	CDC27	996	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	17	47117703	47189422	-1
ENSG00000005100	ENSG00000005100	1	ENSG00000005100	protein_coding	DHX33	56919	DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]	17	5440917	5468982	-1
ENSG00000005700	ENSG00000005700	1	ENSG00000005700	protein_coding	IBTK	25998	inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]	6	82169986	82247754	-1
ENSG00000006125	ENSG00000006125	1	ENSG00000006125	protein_coding	AP2B1	163	adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]	17	35578046	35726413	1
ENSG00000006831	ENSG00000006831	1	ENSG00000006831	protein_coding	ADIPOR2	79602	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	12	1688574	1788674	1
ENSG00000007968	ENSG00000007968	1	ENSG00000007968	protein_coding	E2F2	1870	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	1	23506438	23531233	-1
ENSG00000008838	ENSG00000008838	1	ENSG00000008838	protein_coding	MED24	9862	mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]	17	40019097	40061215	-1
ENSG00000008869	ENSG00000008869	1	ENSG00000008869	protein_coding	HEATR5B	54497	HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]	2	36968383	37084372	-1
ENSG00000009335	ENSG00000009335	1	ENSG00000009335	protein_coding	UBE3C	9690	ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]	7	157138926	157269370	1
ENSG00000009954	ENSG00000009954	1	ENSG00000009954	protein_coding	BAZ1B	9031	bromodomain adjacent to zinc finger domain 1B [Source:HGNC Symbol;Acc:HGNC:961]	7	73440406	73522293	-1
ENSG00000011258	ENSG00000011258	1	ENSG00000011258	protein_coding	MBTD1	54799	mbt domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19866]	17	51177425	51260163	-1
ENSG00000011454	ENSG00000011454	1	ENSG00000011454	protein_coding	RABGAP1	23637	RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]	9	122940833	123104866	1
ENSG00000012983	ENSG00000012983	1	ENSG00000012983	protein_coding	MAP4K5	11183	mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]	14	50418501	50561126	-1
ENSG00000013523	ENSG00000013523	1	ENSG00000013523	protein_coding	ANGEL1	23357	angel homolog 1 [Source:HGNC Symbol;Acc:HGNC:19961]	14	76786009	76826246	-1
ENSG00000015171	ENSG00000015171	1	ENSG00000015171	protein_coding	ZMYND11	10771	zinc finger MYND-type containing 11 [Source:HGNC Symbol;Acc:HGNC:16966]	10	130088	254637	1
ENSG00000016391	ENSG00000016391	1	ENSG00000016391	protein_coding	CHDH	55349	choline dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24288]	3	53812335	53846419	-1
ENSG00000018408	ENSG00000018408	1	ENSG00000018408	protein_coding	WWTR1	25937	WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042]	3	149517235	149736714	-1
ENSG00000021574	ENSG00000021574	1	ENSG00000021574	protein_coding	SPAST	6683	spastin [Source:HGNC Symbol;Acc:HGNC:11233]	2	32063556	32157637	1
ENSG00000024048	ENSG00000024048	1	ENSG00000024048	protein_coding	UBR2	23304	ubiquitin protein ligase E3 component n-recognin 2 [Source:HGNC Symbol;Acc:HGNC:21289]	6	42564029	42693505	1
ENSG00000024526	ENSG00000024526	1	ENSG00000024526	protein_coding	DEPDC1	55635	DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]	1	68474152	68497221	-1
ENSG00000025800	ENSG00000025800	1	ENSG00000025800	protein_coding	KPNA6	23633	karyopherin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6399]	1	32108056	32176563	1
ENSG00000026950	ENSG00000026950	1	ENSG00000026950	protein_coding	BTN3A1	11119	butyrophilin subfamily 3 member A1 [Source:HGNC Symbol;Acc:HGNC:1138]	6	26402237	26415208	1
ENSG00000029364	ENSG00000029364	1	ENSG00000029364	protein_coding	SLC39A9	55334	solute carrier family 39 member 9 [Source:HGNC Symbol;Acc:HGNC:20182]	14	69398015	69462390	1
ENSG00000033170	ENSG00000033170	1	ENSG00000033170	protein_coding	FUT8	2530	fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]	14	65410592	65744121	1
ENSG00000038532	ENSG00000038532	1	ENSG00000038532	protein_coding	CLEC16A	23274	C-type lectin domain containing 16A [Source:HGNC Symbol;Acc:HGNC:29013]	16	10944539	11182186	1
ENSG00000047346	ENSG00000047346	1	ENSG00000047346	protein_coding	ATOSA	56204	atos homolog A [Source:HGNC Symbol;Acc:HGNC:25609]	15	52581317	52709817	-1
ENSG00000047597	ENSG00000047597	1	ENSG00000047597	protein_coding	XK	7504	X-linked Kx blood group antigen, Kell and VPS13A binding protein [Source:HGNC Symbol;Acc:HGNC:12811]	X	37685791	37732130	1
ENSG00000047849	ENSG00000047849	1	ENSG00000047849	protein_coding	MAP4	4134	microtubule associated protein 4 [Source:HGNC Symbol;Acc:HGNC:6862]	3	47850690	48089272	-1
