gene_id	genes	cluster	original_id	gene_biotype	external_gene_name	entrezgene_id	description	chromosome_name	start_position	end_position	strand
ENSG00000005073	ENSG00000005073	4	ENSG00000005073	protein_coding	HOXA11	3207	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	7	27181157	27185232	-1
ENSG00000006062	ENSG00000006062	4	ENSG00000006062	protein_coding	MAP3K14	9020	mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]	17	45263119	45317029	-1
ENSG00000013588	ENSG00000013588	4	ENSG00000013588	protein_coding	GPRC5A	9052	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]	12	12891559	12917937	1
ENSG00000033100	ENSG00000033100	4	ENSG00000033100	protein_coding	CHPF2	54480	chondroitin polymerizing factor 2 [Source:HGNC Symbol;Acc:HGNC:29270]	7	151232483	151240979	1
ENSG00000035681	ENSG00000035681	4	ENSG00000035681	protein_coding	NSMAF	8439	neutral sphingomyelinase activation associated factor [Source:HGNC Symbol;Acc:HGNC:8017]	8	58583508	58659853	-1
ENSG00000037637	ENSG00000037637	4	ENSG00000037637	protein_coding	FBXO42	54455	F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]	1	16246840	16352480	-1
ENSG00000042429	ENSG00000042429	4	ENSG00000042429	protein_coding	MED17	9440	mediator complex subunit 17 [Source:HGNC Symbol;Acc:HGNC:2375]	11	93784227	93814963	1
ENSG00000049323	ENSG00000049323	4	ENSG00000049323	protein_coding	LTBP1	4052	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	2	32946953	33399509	1
ENSG00000051108	ENSG00000051108	4	ENSG00000051108	protein_coding	HERPUD1	9709	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]	16	56932142	56944864	1
ENSG00000060688	ENSG00000060688	4	ENSG00000060688	protein_coding	SNRNP40	9410	small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]	1	31259568	31296788	-1
ENSG00000064703	ENSG00000064703	4	ENSG00000064703	protein_coding	DDX20	11218	DEAD-box helicase 20 [Source:HGNC Symbol;Acc:HGNC:2743]	1	111754832	111775602	1
ENSG00000065320	ENSG00000065320	4	ENSG00000065320	protein_coding	NTN1	9423	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]	17	9021510	9244000	1
ENSG00000066230	ENSG00000066230	4	ENSG00000066230	protein_coding	SLC9A3	6550	solute carrier family 9 member A3 [Source:HGNC Symbol;Acc:HGNC:11073]	5	470456	524449	-1
ENSG00000067182	ENSG00000067182	4	ENSG00000067182	protein_coding	TNFRSF1A	7132	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	12	6328757	6342114	-1
ENSG00000068001	ENSG00000068001	4	ENSG00000068001	protein_coding	HYAL2	8692	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]	3	50317790	50322782	-1
ENSG00000069011	ENSG00000069011	4	ENSG00000069011	protein_coding	PITX1	5307	paired like homeodomain 1 [Source:HGNC Symbol;Acc:HGNC:9004]	5	135027734	135034813	-1
ENSG00000073464	ENSG00000073464	4	ENSG00000073464	protein_coding	CLCN4	1183	chloride voltage-gated channel 4 [Source:HGNC Symbol;Acc:HGNC:2022]	X	10156975	10237660	1
ENSG00000075856	ENSG00000075856	4	ENSG00000075856	protein_coding	SART3	9733	spliceosome associated factor 3, U4/U6 recycling protein [Source:HGNC Symbol;Acc:HGNC:16860]	12	108522214	108561400	-1
ENSG00000080546	ENSG00000080546	4	ENSG00000080546	protein_coding	SESN1	27244	sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595]	6	108984309	109094846	-1
ENSG00000083093	ENSG00000083093	4	ENSG00000083093	protein_coding	PALB2	79728	partner and localizer of BRCA2 [Source:HGNC Symbol;Acc:HGNC:26144]	16	23603160	23641321	-1
ENSG00000085872	ENSG00000085872	4	ENSG00000085872	protein_coding	CHERP	10523	calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]	19	16517894	16542437	-1
ENSG00000087157	ENSG00000087157	4	ENSG00000087157	protein_coding	PGS1	9489	phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:30029]	17	78378649	78425114	1
ENSG00000090020	ENSG00000090020	4	ENSG00000090020	protein_coding	SLC9A1	6548	solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071]	1	27098809	27166981	-1
ENSG00000090432	ENSG00000090432	4	ENSG00000090432	protein_coding	MUL1	79594	mitochondrial E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:25762]	1	20499448	20508151	-1
ENSG00000090447	ENSG00000090447	4	ENSG00000090447	protein_coding	TFAP4	7023	transcription factor AP-4 [Source:HGNC Symbol;Acc:HGNC:11745]	16	4257186	4273075	-1
ENSG00000090621	ENSG00000090621	4	ENSG00000090621	protein_coding	PABPC4	8761	poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]	1	39560709	39576790	-1
ENSG00000090776	ENSG00000090776	4	ENSG00000090776	protein_coding	EFNB1	1947	ephrin B1 [Source:HGNC Symbol;Acc:HGNC:3226]	X	68829021	68842160	1
ENSG00000100109	ENSG00000100109	4	ENSG00000100109	protein_coding	TFIP11	24144	tuftelin interacting protein 11 [Source:HGNC Symbol;Acc:HGNC:17165]	22	26491225	26512505	-1
ENSG00000100242	ENSG00000100242	4	ENSG00000100242	protein_coding	SUN2	25777	Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]	22	38733290	38794143	-1
ENSG00000100441	ENSG00000100441	4	ENSG00000100441	protein_coding	KHNYN	23351	KH and NYN domain containing [Source:HGNC Symbol;Acc:HGNC:20166]	14	24429286	24441843	1
ENSG00000100888	ENSG00000100888	4	ENSG00000100888	protein_coding	CHD8	57680	chromodomain helicase DNA binding protein 8 [Source:HGNC Symbol;Acc:HGNC:20153]	14	21385194	21456126	-1
ENSG00000101138	ENSG00000101138	4	ENSG00000101138	protein_coding	CSTF1	1477	cleavage stimulation factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:2483]	20	56392371	56406362	1
ENSG00000101290	ENSG00000101290	4	ENSG00000101290	protein_coding	CDS2	8760	CDP-diacylglycerol synthase 2 [Source:HGNC Symbol;Acc:HGNC:1801]	20	5126879	5197887	1
ENSG00000101439	ENSG00000101439	4	ENSG00000101439	protein_coding	CST3	1471	cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]	20	23626706	23638473	-1
ENSG00000101442	ENSG00000101442	4	ENSG00000101442	protein_coding	ACTR5	79913	actin related protein 5 [Source:HGNC Symbol;Acc:HGNC:14671]	20	38748460	38772520	1
ENSG00000101447	ENSG00000101447	4	ENSG00000101447	protein_coding	FAM83D	81610	family with sequence similarity 83 member D [Source:HGNC Symbol;Acc:HGNC:16122]	20	38926312	38953106	1
ENSG00000102178	ENSG00000102178	4	ENSG00000102178	protein_coding	UBL4A	8266	ubiquitin like 4A [Source:HGNC Symbol;Acc:HGNC:12505]	X	154483717	154486615	-1
ENSG00000102974	ENSG00000102974	4	ENSG00000102974	protein_coding	CTCF	10664	CCCTC-binding factor [Source:HGNC Symbol;Acc:HGNC:13723]	16	67562467	67639177	1
ENSG00000104142	ENSG00000104142	4	ENSG00000104142	protein_coding	VPS18	57617	VPS18 core subunit of CORVET and HOPS complexes [Source:HGNC Symbol;Acc:HGNC:15972]	15	40894450	40903975	1
ENSG00000104299	ENSG00000104299	4	ENSG00000104299	protein_coding	INTS9	55756	integrator complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:25592]	8	28767661	28890242	-1
ENSG00000105173	ENSG00000105173	4	ENSG00000105173	protein_coding	CCNE1	898	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	19	29811991	29824312	1
ENSG00000106346	ENSG00000106346	4	ENSG00000106346	protein_coding	USP42	84132	ubiquitin specific peptidase 42 [Source:HGNC Symbol;Acc:HGNC:20068]	7	6104949	6161564	1
ENSG00000106477	ENSG00000106477	4	ENSG00000106477	protein_coding	CEP41	95681	centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370]	7	130393771	130442433	-1
ENSG00000107140	ENSG00000107140	4	ENSG00000107140	protein_coding	TESK1	7016	testis associated actin remodelling kinase 1 [Source:HGNC Symbol;Acc:HGNC:11731]	9	35605262	35610041	1
ENSG00000107362	ENSG00000107362	4	ENSG00000107362	protein_coding	ABHD17B	51104	abhydrolase domain containing 17B, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:24278]	9	71862452	71911193	-1
ENSG00000107789	ENSG00000107789	4	ENSG00000107789	protein_coding	MINPP1	9562	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	10	87504875	87553461	1
ENSG00000108312	ENSG00000108312	4	ENSG00000108312	protein_coding	UBTF	7343	upstream binding transcription factor [Source:HGNC Symbol;Acc:HGNC:12511]	17	44205033	44221626	-1
ENSG00000108788	ENSG00000108788	4	ENSG00000108788	protein_coding	MLX	6945	MAX dimerization protein MLX [Source:HGNC Symbol;Acc:HGNC:11645]	17	42567072	42573239	1
ENSG00000108819	ENSG00000108819	4	ENSG00000108819	protein_coding	PPP1R9B	84687	protein phosphatase 1 regulatory subunit 9B [Source:HGNC Symbol;Acc:HGNC:9298]	17	50133737	50150677	-1
ENSG00000109099	ENSG00000109099	4	ENSG00000109099	protein_coding	PMP22	5376	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]	17	15229773	15272292	-1
ENSG00000109118	ENSG00000109118	4	ENSG00000109118	protein_coding	PHF12	57649	PHD finger protein 12 [Source:HGNC Symbol;Acc:HGNC:20816]	17	28905250	28951771	-1
ENSG00000110514	ENSG00000110514	4	ENSG00000110514	protein_coding	MADD	8567	MAP kinase activating death domain [Source:HGNC Symbol;Acc:HGNC:6766]	11	47269161	47330031	1
ENSG00000111641	ENSG00000111641	4	ENSG00000111641	protein_coding	NOP2	4839	NOP2 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:7867]	12	6556863	6568691	-1
ENSG00000111642	ENSG00000111642	4	ENSG00000111642	protein_coding	CHD4	1108	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]	12	6570082	6614524	-1
ENSG00000111725	ENSG00000111725	4	ENSG00000111725	protein_coding	PRKAB1	5564	protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378]	12	119667864	119681624	1
ENSG00000111737	ENSG00000111737	4	ENSG00000111737	protein_coding	RAB35	11021	RAB35, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9774]	12	120095099	120117502	-1
ENSG00000111859	ENSG00000111859	4	ENSG00000111859	protein_coding	NEDD9	4739	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	6	11183298	11382348	-1
ENSG00000112029	ENSG00000112029	4	ENSG00000112029	protein_coding	FBXO5	26271	F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]	6	152970519	152983579	-1
ENSG00000112149	ENSG00000112149	4	ENSG00000112149	protein_coding	CD83	9308	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	6	14117256	14136918	1
ENSG00000113194	ENSG00000113194	4	ENSG00000113194	protein_coding	FAF2	23197	Fas associated factor family member 2 [Source:HGNC Symbol;Acc:HGNC:24666]	5	176447628	176510074	1
ENSG00000113368	ENSG00000113368	4	ENSG00000113368	protein_coding	LMNB1	4001	lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]	5	126776623	126837020	1
ENSG00000114867	ENSG00000114867	4	ENSG00000114867	protein_coding	EIF4G1	1981	eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]	3	184314495	184335358	1
ENSG00000115275	ENSG00000115275	4	ENSG00000115275	protein_coding	MOGS	7841	mannosyl-oligosaccharide glucosidase [Source:HGNC Symbol;Acc:HGNC:24862]	2	74461057	74465410	-1
ENSG00000116133	ENSG00000116133	4	ENSG00000116133	protein_coding	DHCR24	1718	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	1	54849627	54887195	-1
ENSG00000116213	ENSG00000116213	4	ENSG00000116213	protein_coding	WRAP73	49856	WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]	1	3630767	3652761	-1
ENSG00000116237	ENSG00000116237	4	ENSG00000116237	protein_coding	ICMT	23463	isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:HGNC:5350]	1	6221193	6235972	-1
ENSG00000116809	ENSG00000116809	4	ENSG00000116809	protein_coding	ZBTB17	7709	zinc finger and BTB domain containing 17 [Source:HGNC Symbol;Acc:HGNC:12936]	1	15941869	15976132	-1
ENSG00000117597	ENSG00000117597	4	ENSG00000117597	protein_coding	UTP25	27042	UTP25 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:28440]	1	209827972	209857565	1
ENSG00000119321	ENSG00000119321	4	ENSG00000119321	protein_coding	FKBP15	23307	FKBP prolyl isomerase family member 15 [Source:HGNC Symbol;Acc:HGNC:23397]	9	113161006	113221458	-1
ENSG00000119401	ENSG00000119401	4	ENSG00000119401	protein_coding	TRIM32	22954	tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]	9	116687305	116701300	1
ENSG00000119906	ENSG00000119906	4	ENSG00000119906	protein_coding	SLF2	55719	SMC5-SMC6 complex localization factor 2 [Source:HGNC Symbol;Acc:HGNC:17814]	10	100912963	100965134	1
ENSG00000121058	ENSG00000121058	4	ENSG00000121058	protein_coding	COIL	8161	coilin [Source:HGNC Symbol;Acc:HGNC:2184]	17	56938199	56961050	-1
ENSG00000121210	ENSG00000121210	4	ENSG00000121210	protein_coding	TMEM131L	23240	transmembrane 131 like [Source:HGNC Symbol;Acc:HGNC:29146]	4	153466346	153636711	1
ENSG00000123388	ENSG00000123388	4	ENSG00000123388	protein_coding	HOXC11	3227	homeobox C11 [Source:HGNC Symbol;Acc:HGNC:5123]	12	53973126	53977643	1
ENSG00000123485	ENSG00000123485	4	ENSG00000123485	protein_coding	HJURP	55355	Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]	2	233833416	233854566	-1
ENSG00000124160	ENSG00000124160	4	ENSG00000124160	protein_coding	NCOA5	57727	nuclear receptor coactivator 5 [Source:HGNC Symbol;Acc:HGNC:15909]	20	46060991	46089962	-1
ENSG00000125149	ENSG00000125149	4	ENSG00000125149	protein_coding	PHAF1	80262	phagosome assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:29564]	16	67109941	67148544	1
ENSG00000125520	ENSG00000125520	4	ENSG00000125520	protein_coding	SLC2A4RG	56731	SLC2A4 regulator [Source:HGNC Symbol;Acc:HGNC:15930]	20	63739776	63744050	1
ENSG00000125912	ENSG00000125912	4	ENSG00000125912	protein_coding	NCLN	56926	nicalin [Source:HGNC Symbol;Acc:HGNC:26923]	19	3185563	3209575	1
ENSG00000126062	ENSG00000126062	4	ENSG00000126062	protein_coding	TMEM115	11070	transmembrane protein 115 [Source:HGNC Symbol;Acc:HGNC:30055]	3	50354750	50359521	-1
ENSG00000127580	ENSG00000127580	4	ENSG00000127580	protein_coding	WDR24	84219	WD repeat domain 24 [Source:HGNC Symbol;Acc:HGNC:20852]	16	684622	690444	-1
ENSG00000128342	ENSG00000128342	4	ENSG00000128342	protein_coding	LIF	3976	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	22	30240453	30246759	-1
ENSG00000129484	ENSG00000129484	4	ENSG00000129484	protein_coding	PARP2	10038	poly(ADP-ribose) polymerase 2 [Source:HGNC Symbol;Acc:HGNC:272]	14	20343615	20357904	1
ENSG00000129696	ENSG00000129696	4	ENSG00000129696	protein_coding	TTI2	80185	TELO2 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:26262]	8	33473386	33513185	-1
ENSG00000130021	ENSG00000130021	4	ENSG00000130021	protein_coding	PUDP	8226	pseudouridine 5'-phosphatase [Source:HGNC Symbol;Acc:HGNC:16818]	X	6667865	7148158	-1
ENSG00000130695	ENSG00000130695	4	ENSG00000130695	protein_coding	CEP85	64793	centrosomal protein 85 [Source:HGNC Symbol;Acc:HGNC:25309]	1	26234200	26278808	1
ENSG00000130810	ENSG00000130810	4	ENSG00000130810	protein_coding	PPAN	56342	peter pan homolog [Source:HGNC Symbol;Acc:HGNC:9227]	19	10106362	10112012	1
ENSG00000131351	ENSG00000131351	4	ENSG00000131351	protein_coding	HAUS8	93323	HAUS augmin like complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:30532]	19	17049729	17075625	-1
ENSG00000131504	ENSG00000131504	4	ENSG00000131504	protein_coding	DIAPH1	1729	diaphanous related formin 1 [Source:HGNC Symbol;Acc:HGNC:2876]	5	141515016	141619055	-1
ENSG00000132612	ENSG00000132612	4	ENSG00000132612	protein_coding	VPS4A	27183	vacuolar protein sorting 4 homolog A [Source:HGNC Symbol;Acc:HGNC:13488]	16	69311350	69326939	1
ENSG00000134215	ENSG00000134215	4	ENSG00000134215	protein_coding	VAV3	10451	vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]	1	107571161	107965180	-1
ENSG00000134222	ENSG00000134222	4	ENSG00000134222	protein_coding	PSRC1	84722	proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]	1	109279556	109283186	-1
ENSG00000135048	ENSG00000135048	4	ENSG00000135048	protein_coding	CEMIP2	23670	cell migration inducing hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:11869]	9	71683366	71816690	-1
ENSG00000135677	ENSG00000135677	4	ENSG00000135677	protein_coding	GNS	2799	glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]	12	64713445	64759431	-1
ENSG00000136026	ENSG00000136026	4	ENSG00000136026	protein_coding	CKAP4	10970	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]	12	106237881	106304279	-1
ENSG00000136213	ENSG00000136213	4	ENSG00000136213	protein_coding	CHST12	55501	carbohydrate sulfotransferase 12 [Source:HGNC Symbol;Acc:HGNC:17423]	7	2403588	2448484	1
ENSG00000136709	ENSG00000136709	4	ENSG00000136709	protein_coding	WDR33	55339	WD repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:25651]	2	127701027	127811187	-1
ENSG00000136807	ENSG00000136807	4	ENSG00000136807	protein_coding	CDK9	1025	cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]	9	127785679	127790792	1
ENSG00000137200	ENSG00000137200	4	ENSG00000137200	protein_coding	CMTR1	23070	cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]	6	37433219	37482827	1
