gene_id	genes	cluster	original_id	gene_biotype	external_gene_name	entrezgene_id	description	chromosome_name	start_position	end_position	strand
ENSG00000011052	ENSG00000011052	8	ENSG00000011052	protein_coding	NME1-NME2	654364	NME1-NME2 readthrough [Source:HGNC Symbol;Acc:HGNC:33531]	17	51153590	51171744	1
ENSG00000019549	ENSG00000019549	8	ENSG00000019549	protein_coding	SNAI2	6591	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]	8	48917598	48921740	-1
ENSG00000059728	ENSG00000059728	8	ENSG00000059728	protein_coding	MXD1	4084	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	2	69897688	69942945	1
ENSG00000064199	ENSG00000064199	8	ENSG00000064199	protein_coding	SPA17	53340	sperm autoantigenic protein 17 [Source:HGNC Symbol;Acc:HGNC:11210]	11	124673844	124697518	1
ENSG00000067082	ENSG00000067082	8	ENSG00000067082	protein_coding	KLF6	1316	KLF transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	10	3775996	3785281	-1
ENSG00000087074	ENSG00000087074	8	ENSG00000087074	protein_coding	PPP1R15A	23645	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	19	48872212	48876059	1
ENSG00000089692	ENSG00000089692	8	ENSG00000089692	protein_coding	LAG3	3902	lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]	12	6772512	6778455	1
ENSG00000099860	ENSG00000099860	8	ENSG00000099860	protein_coding	GADD45B	4616	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	19	2476122	2478259	1
ENSG00000103740	ENSG00000103740	8	ENSG00000103740	protein_coding	ACSBG1	23205	acyl-CoA synthetase bubblegum family member 1 [Source:HGNC Symbol;Acc:HGNC:29567]	15	78167468	78245688	-1
ENSG00000103995	ENSG00000103995	8	ENSG00000103995	protein_coding	CEP152	22995	centrosomal protein 152 [Source:HGNC Symbol;Acc:HGNC:29298]	15	48712928	48811146	-1
ENSG00000105889	ENSG00000105889	8	ENSG00000105889	protein_coding	STEAP1B	256227	STEAP family member 1B [Source:HGNC Symbol;Acc:HGNC:41907]	7	22419444	22727613	-1
ENSG00000105889	ENSG00000105889	8	ENSG00000105889	protein_coding	STEAP1B	401312	STEAP family member 1B [Source:HGNC Symbol;Acc:HGNC:41907]	7	22419444	22727613	-1
ENSG00000106266	ENSG00000106266	8	ENSG00000106266	protein_coding	SNX8	29886	sorting nexin 8 [Source:HGNC Symbol;Acc:HGNC:14972]	7	2251770	2354318	-1
