ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0045893	positive regulation of transcription, DNA-templated	95/522	461/4114	2.36479348757999e-07	0.000410073423588525	0.000373701742417849	CREBBP/NFIX/BCLAF1/KMT2C/PPP1R12A/ZXDC/SMARCA2/KAT6A/REST/NCOA1/MECOM/MAVS/GCN1/MZF1/DDX17/EP300/LPIN2/TBL1X/DOT1L/GLI3/TGFBR1/BMPR1A/ZMIZ1/MED13/RAI1/CAPRIN2/BICRAL/SMAD5/FOXP1/ASH1L/ARID1A/KMT2A/FOXO3/ATAD2B/LHX4/NCOA3/CHD6/RREB1/PLAGL2/CCNT1/PRKAA1/ARHGEF11/VHL/TBX3/ACVR1B/FHOD1/LMO7/TFAP2A/SMAD6/SMARCC2/NCOA2/NFIC/POGZ/ASXL2/MEIS1/FOXO1/PPARGC1B/KAT6B/DYRK1A/SKI/ELK4/GMEB1/DTX3L/NAA15/NIPBL/FOXK1/BTRC/RBPJ/TET2/AR/SIN3A/TRIM56/NPAS2/HOXB9/MGA/NR1D2/FZD4/TRAF6/MLXIP/NR2C2/TBL1XR1/NRIP1/PLAG1/CREB3L2/SP1/BCL9L/MRTFB/TEAD1/TET3/TCF4/MAP3K5/FOXJ3/ZNF407/KMT2B/MLLT6	95
GO:1902680	positive regulation of RNA biosynthetic process	98/522	485/4114	3.98000734637844e-07	0.000410073423588525	0.000373701742417849	CREBBP/NFIX/BCLAF1/KMT2C/PPP1R12A/ZXDC/SMARCA2/KAT6A/REST/NCOA1/MECOM/MAVS/GCN1/MZF1/DDX17/EP300/LPIN2/TBL1X/DOT1L/GLI3/TGFBR1/BMPR1A/ZMIZ1/MED13/RAI1/CAPRIN2/BICRAL/CNOT6/SMAD5/FOXP1/ASH1L/ARID1A/KMT2A/FOXO3/ATAD2B/LHX4/NCOA3/CHD6/RREB1/PLAGL2/CCNT1/PRKAA1/ARHGEF11/VHL/TBX3/ACVR1B/FHOD1/LMO7/TFAP2A/SMAD6/SMARCC2/NCOA2/NFIC/POGZ/ASXL2/MEIS1/ARID5B/FOXO1/JMY/PPARGC1B/KAT6B/DYRK1A/SKI/ELK4/GMEB1/DTX3L/NAA15/NIPBL/FOXK1/BTRC/RBPJ/TET2/AR/SIN3A/TRIM56/NPAS2/HOXB9/MGA/NR1D2/FZD4/TRAF6/MLXIP/NR2C2/TBL1XR1/NRIP1/PLAG1/CREB3L2/SP1/BCL9L/MRTFB/TEAD1/TET3/TCF4/MAP3K5/FOXJ3/ZNF407/KMT2B/MLLT6	98
GO:1903508	positive regulation of nucleic acid-templated transcription	98/522	485/4114	3.98000734637844e-07	0.000410073423588525	0.000373701742417849	CREBBP/NFIX/BCLAF1/KMT2C/PPP1R12A/ZXDC/SMARCA2/KAT6A/REST/NCOA1/MECOM/MAVS/GCN1/MZF1/DDX17/EP300/LPIN2/TBL1X/DOT1L/GLI3/TGFBR1/BMPR1A/ZMIZ1/MED13/RAI1/CAPRIN2/BICRAL/CNOT6/SMAD5/FOXP1/ASH1L/ARID1A/KMT2A/FOXO3/ATAD2B/LHX4/NCOA3/CHD6/RREB1/PLAGL2/CCNT1/PRKAA1/ARHGEF11/VHL/TBX3/ACVR1B/FHOD1/LMO7/TFAP2A/SMAD6/SMARCC2/NCOA2/NFIC/POGZ/ASXL2/MEIS1/ARID5B/FOXO1/JMY/PPARGC1B/KAT6B/DYRK1A/SKI/ELK4/GMEB1/DTX3L/NAA15/NIPBL/FOXK1/BTRC/RBPJ/TET2/AR/SIN3A/TRIM56/NPAS2/HOXB9/MGA/NR1D2/FZD4/TRAF6/MLXIP/NR2C2/TBL1XR1/NRIP1/PLAG1/CREB3L2/SP1/BCL9L/MRTFB/TEAD1/TET3/TCF4/MAP3K5/FOXJ3/ZNF407/KMT2B/MLLT6	98
GO:0045944	positive regulation of transcription by RNA polymerase II	77/522	371/4114	3.05189447651802e-06	0.00174257201784825	0.00158801366267497	CREBBP/NFIX/BCLAF1/KMT2C/PPP1R12A/SMARCA2/KAT6A/REST/NCOA1/MAVS/GCN1/MZF1/DDX17/EP300/LPIN2/TBL1X/DOT1L/GLI3/BMPR1A/ZMIZ1/MED13/RAI1/CAPRIN2/SMAD5/FOXP1/ASH1L/KMT2A/FOXO3/ATAD2B/LHX4/NCOA3/CHD6/RREB1/PLAGL2/CCNT1/TBX3/ACVR1B/FHOD1/LMO7/TFAP2A/SMAD6/NCOA2/NFIC/POGZ/ASXL2/MEIS1/FOXO1/PPARGC1B/KAT6B/SKI/ELK4/GMEB1/NIPBL/RBPJ/TET2/AR/SIN3A/NPAS2/HOXB9/MGA/NR1D2/TRAF6/MLXIP/NR2C2/TBL1XR1/NRIP1/PLAG1/CREB3L2/SP1/BCL9L/MRTFB/TEAD1/TET3/TCF4/FOXJ3/ZNF407/MLLT6	77
GO:0035265	organ growth	19/522	49/4114	3.17041922512358e-06	0.00174257201784825	0.00158801366267497	WWC3/TGFBR3/ACACB/TGFBR1/BMPR1A/PRLR/LEPR/LATS1/MEIS1/LATS2/DDR2/RBPJ/AR/AKAP13/HEG1/PLAG1/DIPK2A/ARID2/COL27A1	19
GO:0006476	protein deacetylation	15/522	33/4114	3.38254031287269e-06	0.00174257201784825	0.00158801366267497	BAZ2A/REST/EP300/TBL1X/BCL6/PRKAA1/MIDEAS/DYRK1A/SKI/ELK4/PRKAA2/NIPBL/SPRED1/SIN3A/TBL1XR1	15
GO:0016569	covalent chromatin modification	45/522	183/4114	4.91429277141227e-06	0.00201193112518974	0.00183348182022774	CREBBP/KMT2C/BAZ2A/RIF1/KAT6A/REST/NCOA1/MECOM/HUWE1/SETD1A/EP300/BRD1/TBL1X/UBR5/DOT1L/NAA40/BCL6/ASH1L/KMT2A/KANSL1/NCOA3/PRKAA1/SETD1B/KANSL1L/INCENP/CHD1/MIDEAS/KAT6B/SKI/EYA3/ELK4/PRKAA2/DTX3L/RNF168/NIPBL/USP49/TET2/SIN3A/MSL2/TBL1XR1/BEND3/SETD2/TET3/KMT2B/MLLT6	45
GO:0016570	histone modification	44/522	178/4114	5.43300673860192e-06	0.00201193112518974	0.00183348182022774	CREBBP/KMT2C/BAZ2A/RIF1/KAT6A/REST/NCOA1/MECOM/HUWE1/SETD1A/EP300/BRD1/TBL1X/UBR5/DOT1L/NAA40/BCL6/ASH1L/KMT2A/KANSL1/NCOA3/PRKAA1/SETD1B/KANSL1L/INCENP/MIDEAS/KAT6B/SKI/EYA3/ELK4/PRKAA2/DTX3L/RNF168/NIPBL/USP49/TET2/SIN3A/MSL2/TBL1XR1/BEND3/SETD2/TET3/KMT2B/MLLT6	44
GO:0043547	positive regulation of GTPase activity	29/522	98/4114	5.8580977440012e-06	0.00201193112518974	0.00183348182022774	ARFGEF1/SYDE2/ARHGAP5/SIPA1L3/RIC1/RAB11FIP2/RAPGEF2/ACAP2/SIPA1L2/AFDN/TBC1D5/TBC1D14/ARHGEF11/ARHGAP32/GARNL3/ARHGAP29/DOCK5/ASAP2/RANBP2/GNAQ/TIAM1/RAPGEF6/LIMS1/SEMA4D/NF1/ARHGEF12/AGAP6/DENND1B/ARHGAP19	29
GO:0043087	regulation of GTPase activity	32/522	118/4114	1.47083091691995e-05	0.00454633836419956	0.00414309845650293	ARFGEF1/SYDE2/ARHGAP5/SIPA1L3/RIC1/RAB11FIP2/RAPGEF2/BCL6/ACAP2/SIPA1L2/AFDN/TBC1D5/TBC1D14/ARHGEF11/SBF2/ARHGAP32/GARNL3/ARHGAP29/DOCK5/ASAP2/RANBP2/GNAQ/TIAM1/RAPGEF6/RICTOR/LIMS1/SEMA4D/NF1/ARHGEF12/AGAP6/DENND1B/ARHGAP19	32
