gene_id	genes	cluster	original_id	gene_biotype	external_gene_name	entrezgene_id	description	chromosome_name	start_position	end_position	strand
ENSG00000003989	ENSG00000003989	2	ENSG00000003989	protein_coding	SLC7A2	6542	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	8	17497088	17570573	1
ENSG00000005020	ENSG00000005020	2	ENSG00000005020	protein_coding	SKAP2	8935	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	7	26667068	26995239	-1
ENSG00000005339	ENSG00000005339	2	ENSG00000005339	protein_coding	CREBBP	1387	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	16	3725054	3880713	-1
ENSG00000006432	ENSG00000006432	2	ENSG00000006432	protein_coding	MAP3K9	4293	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]	14	70722526	70809534	-1
ENSG00000006607	ENSG00000006607	2	ENSG00000006607	protein_coding	FARP2	9855	FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]	2	241356285	241494841	1
ENSG00000008441	ENSG00000008441	2	ENSG00000008441	protein_coding	NFIX	4784	nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]	19	12995475	13098796	1
ENSG00000010818	ENSG00000010818	2	ENSG00000010818	protein_coding	HIVEP2	3097	HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]	6	142751469	142956698	-1
ENSG00000011405	ENSG00000011405	2	ENSG00000011405	protein_coding	PIK3C2A	5286	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8971]	11	17077730	17207986	-1
ENSG00000020577	ENSG00000020577	2	ENSG00000020577	protein_coding	SAMD4A	23034	sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:HGNC:23023]	14	54566117	54793315	1
ENSG00000023287	ENSG00000023287	2	ENSG00000023287	protein_coding	RB1CC1	9821	RB1 inducible coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:15574]	8	52622458	52745843	-1
ENSG00000029363	ENSG00000029363	2	ENSG00000029363	protein_coding	BCLAF1	9774	BCL2 associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863]	6	136256627	136289851	-1
ENSG00000033867	ENSG00000033867	2	ENSG00000033867	protein_coding	SLC4A7	9497	solute carrier family 4 member 7 [Source:HGNC Symbol;Acc:HGNC:11033]	3	27372721	27484420	-1
ENSG00000038219	ENSG00000038219	2	ENSG00000038219	protein_coding	BOD1L1	259282	biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]	4	13568738	13627725	-1
ENSG00000038382	ENSG00000038382	2	ENSG00000038382	protein_coding	TRIO	7204	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]	5	14143342	14532128	1
ENSG00000040199	ENSG00000040199	2	ENSG00000040199	protein_coding	PHLPP2	23035	PH domain and leucine rich repeat protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:29149]	16	71637835	71724701	-1
ENSG00000047056	ENSG00000047056	2	ENSG00000047056	protein_coding	WDR37	22884	WD repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:31406]	10	1049538	1160991	1
ENSG00000047644	ENSG00000047644	2	ENSG00000047644	protein_coding	WWC3	55841	WWC family member 3 [Source:HGNC Symbol;Acc:HGNC:29237]	X	10015254	10144474	1
ENSG00000048028	ENSG00000048028	2	ENSG00000048028	protein_coding	USP28	57646	ubiquitin specific peptidase 28 [Source:HGNC Symbol;Acc:HGNC:12625]	11	113797874	113875572	-1
ENSG00000048405	ENSG00000048405	2	ENSG00000048405	protein_coding	ZNF800	168850	zinc finger protein 800 [Source:HGNC Symbol;Acc:HGNC:27267]	7	127346790	127431924	-1
ENSG00000049239	ENSG00000049239	2	ENSG00000049239	protein_coding	H6PD	9563	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]	1	9234774	9271337	1
ENSG00000051341	ENSG00000051341	2	ENSG00000051341	protein_coding	POLQ	10721	DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]	3	121431431	121545988	-1
ENSG00000054523	ENSG00000054523	2	ENSG00000054523	protein_coding	KIF1B	23095	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	1	10210570	10381603	1
