gene_id	genes	cluster	original_id	gene_biotype	external_gene_name	entrezgene_id	description	chromosome_name	start_position	end_position	strand
ENSG00000004059	ENSG00000004059	5	ENSG00000004059	protein_coding	ARF5	381	ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]	7	127588386	127591700	1
ENSG00000004779	ENSG00000004779	5	ENSG00000004779	protein_coding	NDUFAB1	4706	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	16	23581014	23596316	-1
ENSG00000005022	ENSG00000005022	5	ENSG00000005022	protein_coding	SLC25A5	292	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	X	119468422	119471396	1
ENSG00000005448	ENSG00000005448	5	ENSG00000005448	protein_coding	WDR54	84058	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	2	74421678	74425755	1
ENSG00000006007	ENSG00000006007	5	ENSG00000006007	protein_coding	GDE1	51573	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]	16	19501693	19522123	-1
ENSG00000006712	ENSG00000006712	5	ENSG00000006712	protein_coding	PAF1	54623	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]	19	39385629	39391154	-1
ENSG00000007038	ENSG00000007038	5	ENSG00000007038	protein_coding	PRSS21	10942	serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]	16	2817180	2826304	1
ENSG00000007264	ENSG00000007264	5	ENSG00000007264	protein_coding	MATK	4145	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]	19	3777970	3802129	-1
ENSG00000007520	ENSG00000007520	5	ENSG00000007520	protein_coding	TSR3	115939	TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]	16	1349240	1351878	-1
ENSG00000008018	ENSG00000008018	5	ENSG00000008018	protein_coding	PSMB1	5689	proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]	6	170535120	170553307	-1
ENSG00000010256	ENSG00000010256	5	ENSG00000010256	protein_coding	UQCRC1	7384	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	3	48599002	48610976	-1
ENSG00000011009	ENSG00000011009	5	ENSG00000011009	protein_coding	LYPLA2	11313	lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]	1	23791145	23795539	1
ENSG00000011028	ENSG00000011028	5	ENSG00000011028	protein_coding	MRC2	9902	mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]	17	62627670	62693597	1
ENSG00000011260	ENSG00000011260	5	ENSG00000011260	protein_coding	UTP18	51096	UTP18 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24274]	17	51260546	51297936	1
ENSG00000013306	ENSG00000013306	5	ENSG00000013306	protein_coding	SLC25A39	51629	solute carrier family 25 member 39 [Source:HGNC Symbol;Acc:HGNC:24279]	17	44319625	44324870	-1
ENSG00000015475	ENSG00000015475	5	ENSG00000015475	protein_coding	BID	637	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	22	17734138	17774770	-1
ENSG00000022277	ENSG00000022277	5	ENSG00000022277	protein_coding	RTF2	51507	replication termination factor 2 [Source:HGNC Symbol;Acc:HGNC:15890]	20	56468585	56519449	1
ENSG00000023191	ENSG00000023191	5	ENSG00000023191	protein_coding	RNH1	6050	ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]	11	494512	507300	-1
ENSG00000023330	ENSG00000023330	5	ENSG00000023330	protein_coding	ALAS1	211	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	3	52198086	52214327	1
