ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0070972	protein localization to endoplasmic reticulum	34/512	98/4114	6.80325581516196e-09	8.99663799242374e-06	8.96331196806533e-06	RPL6/PMM1/RPL34/RPL22/RPS25/RPL21/RPL23/SEC61G/RPS15A/OS9/RPS24/RPL11/RPS27A/RPS3A/RPL37/RPL7/SRP19/RPL30/RPL26/RPL9/RPL27A/RPL13/RPS7/RPS27/RPS23/RPL14/RPS4X/DDRGK1/RPL23A/RPL39/RPS29/RPS28/RPL36A/CHMP4A	34
GO:0045047	protein targeting to ER	32/512	89/4114	7.03077301525258e-09	8.99663799242374e-06	8.96331196806533e-06	RPL6/PMM1/RPL34/RPL22/RPS25/RPL21/RPL23/SEC61G/RPS15A/RPS24/RPL11/RPS27A/RPS3A/RPL37/RPL7/SRP19/RPL30/RPL26/RPL9/RPL27A/RPL13/RPS7/RPS27/RPS23/RPL14/RPS4X/RPL23A/RPL39/RPS29/RPS28/RPL36A/CHMP4A	32
GO:0006518	peptide metabolic process	82/512	364/4114	1.25996322550979e-08	8.99663799242374e-06	8.96331196806533e-06	MIPEP/GATB/EIF2B3/DDX1/PUM3/RPL6/MRPS33/GGT1/GSTZ1/ETHE1/RPL34/CPZ/RWDD1/RARS1/MRPL3/EIF1B/RPL22/DPH5/RPS25/CLU/RPL21/MTIF3/EEF1E1/RPL23/EIF2S2/MRPL34/MRPS36/RPS15A/CTSL/MRPL47/DNAJC1/MRPL15/RSL24D1/RPS24/METTL5/PPA2/TARBP2/RPL11/RPS27A/EIF2A/RPS3A/RPL37/MRPS28/RPL7/EIF3H/EIF3M/USP16/RPL30/RPL26/MAGOH/RPL22L1/RPL9/RPL39L/RPL36AL/METTL17/RPL27A/GPX4/RPL13/MRPL1/RPS7/MRPL13/CHCHD1/TRMT10C/MRPL48/RPS27/DALRD3/MRPS23/IMMP2L/MRPL30/RPS23/RPL14/RPS4X/RPL23A/RPL39/SARNP/RPS29/GPX1/RPS28/RPL36A/MRPL33/RBM8A/NDUFA7	82
GO:0072599	establishment of protein localization to endoplasmic reticulum	32/512	91/4114	1.31915513085392e-08	8.99663799242374e-06	8.96331196806533e-06	RPL6/PMM1/RPL34/RPL22/RPS25/RPL21/RPL23/SEC61G/RPS15A/RPS24/RPL11/RPS27A/RPS3A/RPL37/RPL7/SRP19/RPL30/RPL26/RPL9/RPL27A/RPL13/RPS7/RPS27/RPS23/RPL14/RPS4X/RPL23A/RPL39/RPS29/RPS28/RPL36A/CHMP4A	32
GO:0006605	protein targeting	53/512	199/4114	2.00393338209849e-08	1.09334605327293e-05	1.08929599843754e-05	MIPEP/RPL6/TSPO/PMM1/TIMM9/ACOT8/NAGPA/PDCD5/PHYH/RPL34/SCP2/RPL22/RPS25/CLU/RPL21/RPL23/ROMO1/AP1M2/ATP5IF1/SEC61G/RPS15A/OS9/RPS24/RPL11/RPS27A/RPS3A/RPL37/RPL7/IMMP1L/TIMM8B/SRP19/RPL30/RPL26/RPL9/RPL27A/RPL13/RPS7/RPS27/IMMP2L/NDUFA13/RPS23/RPL14/TOMM7/RPS4X/RPL23A/RPL39/RPS29/FIS1/PAM16/AP4M1/RPS28/RPL36A/CHMP4A	53
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	31/512	89/4114	2.90295220051059e-08	1.31987560049882e-05	1.31498641784533e-05	RPL6/RPL34/MAGOHB/RPL22/RPS25/RPL21/RPL23/RPS15A/RPS24/RPL11/RPS27A/RPS3A/RPL37/RPL7/RPL30/RPL26/MAGOH/RPL9/RPL27A/RPL13/RPS7/RPS27/RPS23/RPL14/RPS4X/RPL23A/RPL39/RPS29/RPS28/RPL36A/RBM8A	31
GO:0006613	cotranslational protein targeting to membrane	29/512	83/4114	7.61371524738773e-08	2.43674159028089e-05	2.42771522847093e-05	RPL6/RPL34/RPL22/RPS25/RPL21/RPL23/RPS15A/RPS24/RPL11/RPS27A/RPS3A/RPL37/RPL7/SRP19/RPL30/RPL26/RPL9/RPL27A/RPL13/RPS7/RPS27/RPS23/RPL14/RPS4X/RPL23A/RPL39/RPS29/RPS28/RPL36A	29
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	29/512	83/4114	7.61371524738773e-08	2.43674159028089e-05	2.42771522847093e-05	RPL6/RPL34/RPL22/RPS25/RPL21/RPL23/RPS15A/RPS24/RPL11/RPS27A/RPS3A/RPL37/RPL7/SRP19/RPL30/RPL26/RPL9/RPL27A/RPL13/RPS7/RPS27/RPS23/RPL14/RPS4X/RPL23A/RPL39/RPS29/RPS28/RPL36A	29
GO:0043603	cellular amide metabolic process	92/512	441/4114	8.03910348699708e-08	2.43674159028089e-05	2.42771522847093e-05	MIPEP/GATB/EIF2B3/DDX1/PUM3/RPL6/MRPS33/GGT1/GSTZ1/ACOT8/ETHE1/RPL34/CPZ/FOLR1/RWDD1/RARS1/NIT2/MRPL3/EIF1B/RPL22/DPH5/RPS25/CLU/RPL21/MTIF3/ACSL3/EEF1E1/RPL23/EIF2S2/PPCS/MRPL34/MRPS36/RPS15A/CTSL/MTHFS/MRPL47/DNAJC1/MRPL15/GGH/RSL24D1/RPS24/METTL5/PPA2/TARBP2/RPL11/RPS27A/EIF2A/RPS3A/RPL37/MRPS28/RPL7/EIF3H/EIF3M/DBI/USP16/RPL30/RPL26/MAGOH/RPL22L1/RPL9/RPL39L/RPL36AL/METTL17/RPL27A/GPX4/MVD/RPL13/MRPL1/RPS7/MRPL13/CHCHD1/TRMT10C/MRPL48/GBA/RPS27/DALRD3/MRPS23/IMMP2L/MRPL30/RPS23/RPL14/RPS4X/RPL23A/RPL39/SARNP/RPS29/GPX1/RPS28/RPL36A/MRPL33/RBM8A/NDUFA7	92
GO:0006412	translation	73/512	324/4114	9.03435176661433e-08	2.46457116193239e-05	2.45544171172613e-05	GATB/EIF2B3/DDX1/PUM3/RPL6/MRPS33/GGT1/RPL34/RWDD1/RARS1/MRPL3/EIF1B/RPL22/DPH5/RPS25/RPL21/MTIF3/EEF1E1/RPL23/EIF2S2/MRPL34/MRPS36/RPS15A/MRPL47/DNAJC1/MRPL15/RSL24D1/RPS24/METTL5/PPA2/TARBP2/RPL11/RPS27A/EIF2A/RPS3A/RPL37/MRPS28/RPL7/EIF3H/EIF3M/USP16/RPL30/RPL26/MAGOH/RPL22L1/RPL9/RPL39L/RPL36AL/METTL17/RPL27A/RPL13/MRPL1/RPS7/MRPL13/CHCHD1/TRMT10C/MRPL48/RPS27/DALRD3/MRPS23/MRPL30/RPS23/RPL14/RPS4X/RPL23A/RPL39/SARNP/RPS29/RPS28/RPL36A/MRPL33/RBM8A/NDUFA7	73
