gene_id	genes	cluster	original_id	gene_biotype	external_gene_name	entrezgene_id	description	chromosome_name	start_position	end_position	strand
ENSG00000000419	ENSG00000000419	7	ENSG00000000419	protein_coding	DPM1	8813	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	20	50934867	50959140	-1
ENSG00000004455	ENSG00000004455	7	ENSG00000004455	protein_coding	AK2	204	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	1	33007986	33080996	-1
ENSG00000006015	ENSG00000006015	7	ENSG00000006015	protein_coding	REX1BD	55049	required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]	19	18588685	18592337	1
ENSG00000006194	ENSG00000006194	7	ENSG00000006194	protein_coding	ZNF263	10127	zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]	16	3283283	3301401	1
ENSG00000006652	ENSG00000006652	7	ENSG00000006652	protein_coding	IFRD1	3475	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	7	112422887	112481017	1
ENSG00000011243	ENSG00000011243	7	ENSG00000011243	protein_coding	AKAP8L	26993	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	19	15380050	15419141	-1
ENSG00000012171	ENSG00000012171	7	ENSG00000012171	protein_coding	SEMA3B	7869	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	3	50267558	50277546	1
ENSG00000014641	ENSG00000014641	7	ENSG00000014641	protein_coding	MDH1	4190	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	2	63588609	63607197	1
ENSG00000020426	ENSG00000020426	7	ENSG00000020426	protein_coding	MNAT1	4331	MNAT1 component of CDK activating kinase [Source:HGNC Symbol;Acc:HGNC:7181]	14	60734742	60969965	1
ENSG00000027001	ENSG00000027001	7	ENSG00000027001	protein_coding	MIPEP	4285	mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:HGNC:7104]	13	23730189	23889400	-1
ENSG00000041357	ENSG00000041357	7	ENSG00000041357	protein_coding	PSMA4	5685	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]	15	78540405	78552417	1
ENSG00000054967	ENSG00000054967	7	ENSG00000054967	protein_coding	RELT	84957	RELT TNF receptor [Source:HGNC Symbol;Acc:HGNC:13764]	11	73376399	73397474	1
ENSG00000056050	ENSG00000056050	7	ENSG00000056050	protein_coding	HPF1	54969	histone PARylation factor 1 [Source:HGNC Symbol;Acc:HGNC:26051]	4	169729470	169757944	-1
ENSG00000059691	ENSG00000059691	7	ENSG00000059691	protein_coding	GATB	5188	glutamyl-tRNA amidotransferase subunit B [Source:HGNC Symbol;Acc:HGNC:8849]	4	151670504	151761007	-1
ENSG00000064490	ENSG00000064490	7	ENSG00000064490	protein_coding	RFXANK	8625	regulatory factor X associated ankyrin containing protein [Source:HGNC Symbol;Acc:HGNC:9987]	19	19192229	19201869	1
ENSG00000065268	ENSG00000065268	7	ENSG00000065268	protein_coding	WDR18	57418	WD repeat domain 18 [Source:HGNC Symbol;Acc:HGNC:17956]	19	984332	998438	1
ENSG00000066651	ENSG00000066651	7	ENSG00000066651	protein_coding	TRMT11	60487	tRNA methyltransferase 11 homolog [Source:HGNC Symbol;Acc:HGNC:21080]	6	125986479	126203817	1
