gene_id	genes	cluster	original_id	gene_biotype	external_gene_name	entrezgene_id	description	chromosome_name	start_position	end_position	strand
ENSG00000011114	ENSG00000011114	10	ENSG00000011114	protein_coding	BTBD7	55727	BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]	14	93237550	93333092	-1
ENSG00000042781	ENSG00000042781	10	ENSG00000042781	protein_coding	USH2A	7399	usherin [Source:HGNC Symbol;Acc:HGNC:12601]	1	215622891	216423448	-1
ENSG00000102195	ENSG00000102195	10	ENSG00000102195	protein_coding	GPR50	9248	G protein-coupled receptor 50 [Source:HGNC Symbol;Acc:HGNC:4506]	X	151176584	151181465	1
ENSG00000107551	ENSG00000107551	10	ENSG00000107551	protein_coding	RASSF4	83937	Ras association domain family member 4 [Source:HGNC Symbol;Acc:HGNC:20793]	10	44959407	44995891	1
ENSG00000108551	ENSG00000108551	10	ENSG00000108551	protein_coding	RASD1	51655	ras related dexamethasone induced 1 [Source:HGNC Symbol;Acc:HGNC:15828]	17	17494437	17496395	-1
ENSG00000109063	ENSG00000109063	10	ENSG00000109063	protein_coding	MYH3	4621	myosin heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:7573]	17	10628526	10657309	-1
ENSG00000113555	ENSG00000113555	10	ENSG00000113555	protein_coding	PCDH12	51294	protocadherin 12 [Source:HGNC Symbol;Acc:HGNC:8657]	5	141943581	141969741	-1
ENSG00000118523	ENSG00000118523	10	ENSG00000118523	protein_coding	CCN2	1490	cellular communication network factor 2 [Source:HGNC Symbol;Acc:HGNC:2500]	6	131948176	131951372	-1
ENSG00000120738	ENSG00000120738	10	ENSG00000120738	protein_coding	EGR1	1958	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	5	138465479	138469303	1
ENSG00000122733	ENSG00000122733	10	ENSG00000122733	protein_coding	PHF24	23349	PHD finger protein 24 [Source:HGNC Symbol;Acc:HGNC:29180]	9	34957608	34982544	1
ENSG00000122877	ENSG00000122877	10	ENSG00000122877	protein_coding	EGR2	1959	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	10	62811996	62819167	-1
ENSG00000123358	ENSG00000123358	10	ENSG00000123358	protein_coding	NR4A1	3164	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	12	52022832	52059507	1
ENSG00000125740	ENSG00000125740	10	ENSG00000125740	protein_coding	FOSB	2354	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	19	45467995	45475179	1
ENSG00000127528	ENSG00000127528	10	ENSG00000127528	protein_coding	KLF2	10365	KLF transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]	19	16324826	16328685	1
ENSG00000128016	ENSG00000128016	10	ENSG00000128016	protein_coding	ZFP36	7538	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	19	39406847	39409412	1
ENSG00000131737	ENSG00000131737	10	ENSG00000131737	protein_coding	KRT34	3885	keratin 34 [Source:HGNC Symbol;Acc:HGNC:6452]	17	41377669	41382306	-1
ENSG00000132692	ENSG00000132692	10	ENSG00000132692	protein_coding	BCAN	63827	brevican [Source:HGNC Symbol;Acc:HGNC:23059]	1	156641390	156659532	1
ENSG00000134258	ENSG00000134258	10	ENSG00000134258	protein_coding	VTCN1	79679	V-set domain containing T cell activation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28873]	1	117143587	117210960	-1
ENSG00000134551	ENSG00000134551	10	ENSG00000134551	protein_coding	PRH2	5555	proline rich protein HaeIII subfamily 2 [Source:HGNC Symbol;Acc:HGNC:9367]	12	10929236	10934845	1
ENSG00000136010	ENSG00000136010	10	ENSG00000136010	protein_coding	ALDH1L2	160428	aldehyde dehydrogenase 1 family member L2 [Source:HGNC Symbol;Acc:HGNC:26777]	12	105019784	105107643	-1
ENSG00000136859	ENSG00000136859	10	ENSG00000136859	protein_coding	ANGPTL2	23452	angiopoietin like 2 [Source:HGNC Symbol;Acc:HGNC:490]	9	127087348	127122635	-1
ENSG00000137747	ENSG00000137747	10	ENSG00000137747	protein_coding	TMPRSS13	84000	transmembrane serine protease 13 [Source:HGNC Symbol;Acc:HGNC:29808]	11	117900641	117929459	-1
ENSG00000139318	ENSG00000139318	10	ENSG00000139318	protein_coding	DUSP6	1848	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	12	89347235	89352501	-1
ENSG00000140107	ENSG00000140107	10	ENSG00000140107	protein_coding	SLC25A47	283600	solute carrier family 25 member 47 [Source:HGNC Symbol;Acc:HGNC:20115]	14	100323339	100330421	1
ENSG00000146592	ENSG00000146592	10	ENSG00000146592	protein_coding	CREB5	9586	cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]	7	28299321	28825894	1
ENSG00000150873	ENSG00000150873	10	ENSG00000150873	protein_coding	C2orf50	130813	chromosome 2 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:26324]	2	11133128	11151317	1
ENSG00000153208	ENSG00000153208	10	ENSG00000153208	protein_coding	MERTK	10461	MER proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7027]	2	111898607	112029561	1
